test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
T_max,1600,None,TSRHSE,6400,1600,300453722.7042616,"[-0.47726714194539666, -0.3727506474128439, -0.061989973953603277, -0.0014127453186141264, 0.12038161815395203, 0.13208217158822486, 0.28051212288476113, 0.36704966088152036]","[0.00251040256631313, 0.0014127453186141223, 0.003190583965010263, 0.0025989247559449757, 0.00021188080936968, 0.00544143873148583, 0.001182477688650152, 0.010518075745622676]",
T_max,1600,None,QFAMES,6400,1600,300453722.7042616,"[0.13090734641020685, -0.3702489035897929, -0.06740515358979297, -0.474655153589793, 0.37025109641020676, 0.28028234641020733, 1.096410206919557e-06, 0.13384484641020714, 0.12793859641020688]","[8.658743262113244e-06, 1.0964102069237718e-06, 1.0851563676139708e-05, 1.3063599658691416e-05, 1.7895665184120002e-05, 2.6259095296132795e-05, 7.65251063214456e-06, 0.0029451525106324317]",[2 1 1 1 1 1 1 0 0]
T_max,1600,Small,QPE,7,847.1682853351776,1681.099566211993,0.2712283859784102,0.09901185886812058,
T_max,1600,Small,KQPE,7,847.1682853351776,1681.099566211993,0.3708345446792592,0.0005942998327284066,
T_max,1600,Small,QMEGS,74,1600,49136.51709222897,"[-2.227217653589793, -1.8067489035897932, -0.3704676535897929, -0.3357489035897929, -0.23737390358979318, -0.11759265358979325, 0.05321984641020701, 0.9314698464102069]","[0.00022740874326210303, 0.053219846410207015, 0.5612296015636763, 0.13891931359965876, 2.5075178956651842, 0.05016124090470414, 0.3682735974893679, 1.937648597489368]",
T_max,1600,Small,TSRHSE,6400,1600,300453722.7042616,"[-18.326636367597388, -6.342602599779089, -4.056727759923445, 1.878499639693275, 2.0415063731676857, 4.028520863047487, 6.177001514390058, 8.245579014273119]","[5.972362354932558, 8.245579014273119, 1.5082593948467444, 3.582059542733993, 1.7612061310922942, 18.2592049549123, 3.8976211691479126, 6.046101820490484]",
T_max,1600,Small,QFAMES,6400,1600,300453722.7042616,"[0.3702198464102068, 0.28031359641020737, 0.13090734641020685, -0.3702801535897929, -0.06743640358979297, 1.096410206919557e-06, 0.37318859641020746, 0.2773448464102066, 0.13384484641020714]","[3.9908743262095925e-05, 1.0964102069237718e-06, 2.0398436323842972e-05, 0.7520130635996582, 1.335433481591819e-05, 4.990904703863763e-06, 7.65251063214456e-06, 0.0029451525106324317]",[1 1 1 0 0 0 0 0 0]
T_max,1600,Big,QPE,7,847.1682853351776,1681.099566211993,0.2042705005911231,0.1659697442554077,
T_max,1600,Big,KQPE,7,847.1682853351776,1681.099566211993,0.10383367251019257,0.26640657233633824,
T_max,1600,Big,QMEGS,74,1600,49136.51709222897,"[-2.019936403589793, -1.9795301535897933, -1.8523739035897933, -1.4749364035897932, 0.03259484641020667, 0.1916573464102068, 0.28050109641020704, 1.6576260964102074]","[1.4821336587432625, 0.03259484641020668, 1.287385851563677, 1.0002681864003415, 0.00020085433481559223, 1.9120987409047043, 0.06075765251063209, 2.1508360974893677]",
